,tanggal,tweet
84,2023-01-20,"“Ya kalau koalisi haknya ketua partai,” ucap Said. Sebagai informasi, saat memberikan sambutan di acara HUT Perindo, Presiden Jokowi berkelakar bahwa pada 2024 merupakan tahun kemenangan Prabowo Subianto jika maju sebagai calon presiden (capres) RI.
#BersatuNegeri #BangkitBersama"
85,2023-01-20,"Sekjen Gerindra Ahmad Muzani sangat senang bila Presiden Joko Widodo mendukung Ketua Umum Partai Gerindra Prabowo Subianto maju menjadi calon presiden Pemilu 2024 nanti
https://t.co/uKsDiLcd9L
#BersatuNegeri  #BangkitBersama https://t.co/vTVmxoZAtE"
86,2023-01-20,"Sekjen Gerindra Ahmad Muzani sangat senang bila Presiden Joko Widodo mendukung Ketua Umum Partai Gerindra Prabowo Subianto maju menjadi calon presiden Pemilu 2024 nanti
https://t.co/vj6SUrfabJ
#BersatuNegeri  #BangkitBersama https://t.co/iKnqFNB2El"
87,2023-01-20,"kedekatan itu menunjukan kembali endorse Presiden Jokowi kepada Prabowo Subianto yang didapuk sebagai calon presiden (Capres) 2024 dari Partai Gerindra. 
#BersatuNegeri Prabowo Subianto
#BangkitBersama https://t.co/w5Uvm9hsQl"
88,2023-01-20,"Menteri Pertahanan Prabowo Subianto terus menguat sebagai figur calon presiden melanjutkan kepemimpinan Presiden Joko Widodo pada Pilpres 2024 mendatang
#BersatuNegeri #BangkitBersama Prabowo Subianto #kerjasama"
89,2023-01-20,"Mayoritas pemilih pasangan Prabowo-Sandiaga Uno pada kontestasi Pilpres 2019 kemarin, menyatakan akan mendukung kembali Prabowo Subianto 
sebagai calon presiden (Capres) di 2024 mendatang. 

#BangkitBersama 
#BersatuNegeri https://t.co/NkMpgvdXUp"
90,2023-01-20,"Prabowo Subianto saat ini telah mendeklarasikan diri akan maju dalam pemilihan presiden 2024. Deklarasi Partai Gerindra mendukung Prabowo maju dalam calon presiden
#BangkitBersama
#BersatuNegeri
Prabowo Subianto"
91,2023-01-20,"Pak Ganjar selalu unggul menjadi calon Presiden 2024
#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#sahabatganjar
#relawanganjar
#GanjarPilihanJokowi
#ganjarpranowofor2024
#GanjarPilihanRakyat
#GanjarHebat
#GanjarAmanah
#GanjarBertanggungjawab https://t.co/GuHkAspD4R"
92,2023-01-20,"Mantap Ganjar Calon Presiden 2024
#ganjarpranowo #ganjar_pranowo
#ganjarkita #ganjaruntukindonesia
#sahabatganjar #relawanganjar
#GanjarPilihanJokowi #ganjarpranowofor2024
#GanjarPilihanRakyat #GanjarHebat
#GanjarAmanah #GanjarBertanggungjawab https://t.co/U9dk3SAAeK"
93,2023-01-20,"sobat, kalian tau ga?
Lembaga Survei Nasional (LSN) merilis hasil survei terbarunya, terkait kandidat calon presiden 2024.

Mending Prabowo
Indonesia Terus Maju

@prabowo @gerindra https://t.co/EB9f90F8G9"
94,2023-01-20,siapa calon presiden dan wakil presiden 2024
95,2023-01-20,"luar biasaaa nih temen temennn..
Lembaga Survei Nasional (LSN) merilis hasil survei terbarunya, terkait kandidat calon presiden 2024.

Mending Prabowo
Indonesia Terus Maju

@prabowo @gerindra https://t.co/AXAxTJfHqk"
96,2023-01-20,"Pak Ganjar selalu unggul menjadi calon Presiden 2024

#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#sahabatganjar
#relawanganjar
#GanjarPilihanJokowi
#ganjarpranowofor2024
#GanjarPilihanRakyat
#GanjarHebat
#GanjarAmanah
#GanjarBertanggungjawab https://t.co/oZh0KCscKh"
97,2023-01-20,"Calon presiden 2024 Ganjar pranowo
#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#sahabatganjar
#relawanganjar
#GanjarPilihanJokowi
#ganjarpranowofor2024
#GanjarPilihanRakyat
#GanjarHebat
#GanjarAmanah
#GanjarBertanggungjawab https://t.co/XOcnpOiDkz"
98,2023-01-20,"Menurut informasi yang di dapat, Elektabilitas Prabowo unggul tetap tertinggi pada survei calon presiden 2024

Mending Prabowo
Indonesia Terus Maju

@prabowo @Gerindra https://t.co/lptgWY2Iv8"
